case,Times,sun_x,sun_y,sun_z,planet_x,planet_y,planet_z,radius,CHAMBER.T1,CHAMBER.T2,CHAMBER.T3,CHAMBER.T4,CHAMBER.T5,CHAMBER.T6,CHAMBER.T7,CHAMBER.T8,CHAMBER.T9,CHAMBER.T100,CHAMBER.T101,CHAMBER.T102,CHAMBER.T103,CHAMBER.T104,CHAMBER.T105,CHAMBER.T200,CHAMBER.T201,CHAMBER.T202,CHAMBER.T203,CHAMBER.T204,CHAMBER.T205,PANEL_MX.T1,PANEL_MX.T2,PANEL_MX.T3,PANEL_MX.T4,PANEL_MX.T5,PANEL_MX.T6,PANEL_MX.T7,PANEL_MX.T8,PANEL_MX.T9,PANEL_MY.T1,PANEL_MY.T2,PANEL_MY.T3,PANEL_MY.T4,PANEL_MY.T5,PANEL_MY.T6,PANEL_MY.T7,PANEL_MY.T8,PANEL_MY.T9,PANEL_MZ.T1,PANEL_MZ.T2,PANEL_MZ.T3,PANEL_MZ.T4,PANEL_MZ.T5,PANEL_MZ.T6,PANEL_MZ.T7,PANEL_MZ.T8,PANEL_MZ.T9,PANEL_PX.T1,PANEL_PX.T2,PANEL_PX.T3,PANEL_PX.T4,PANEL_PX.T5,PANEL_PX.T6,PANEL_PX.T7,PANEL_PX.T8,PANEL_PX.T9,PANEL_PY.T1,PANEL_PY.T2,PANEL_PY.T3,PANEL_PY.T4,PANEL_PY.T5,PANEL_PY.T6,PANEL_PY.T7,PANEL_PY.T8,PANEL_PY.T9,PANEL_PZ.T1,PANEL_PZ.T2,PANEL_PZ.T3,PANEL_PZ.T4,PANEL_PZ.T5,PANEL_PZ.T6,PANEL_PZ.T7,PANEL_PZ.T8,PANEL_PZ.T9,SPACE.T1,CHAMBER.Q1,CHAMBER.Q2,CHAMBER.Q3,CHAMBER.Q4,CHAMBER.Q5,CHAMBER.Q6,CHAMBER.Q7,CHAMBER.Q8,CHAMBER.Q9,CHAMBER.Q100,CHAMBER.Q101,CHAMBER.Q102,CHAMBER.Q103,CHAMBER.Q104,CHAMBER.Q105,CHAMBER.Q200,CHAMBER.Q201,CHAMBER.Q202,CHAMBER.Q203,CHAMBER.Q204,CHAMBER.Q205,PANEL_MX.Q1,PANEL_MX.Q2,PANEL_MX.Q3,PANEL_MX.Q4,PANEL_MX.Q5,PANEL_MX.Q6,PANEL_MX.Q7,PANEL_MX.Q8,PANEL_MX.Q9,PANEL_MY.Q1,PANEL_MY.Q2,PANEL_MY.Q3,PANEL_MY.Q4,PANEL_MY.Q5,PANEL_MY.Q6,PANEL_MY.Q7,PANEL_MY.Q8,PANEL_MY.Q9,PANEL_MZ.Q1,PANEL_MZ.Q2,PANEL_MZ.Q3,PANEL_MZ.Q4,PANEL_MZ.Q5,PANEL_MZ.Q6,PANEL_MZ.Q7,PANEL_MZ.Q8,PANEL_MZ.Q9,PANEL_PX.Q1,PANEL_PX.Q2,PANEL_PX.Q3,PANEL_PX.Q4,PANEL_PX.Q5,PANEL_PX.Q6,PANEL_PX.Q7,PANEL_PX.Q8,PANEL_PX.Q9,PANEL_PY.Q1,PANEL_PY.Q2,PANEL_PY.Q3,PANEL_PY.Q4,PANEL_PY.Q5,PANEL_PY.Q6,PANEL_PY.Q7,PANEL_PY.Q8,PANEL_PY.Q9,PANEL_PZ.Q1,PANEL_PZ.Q2,PANEL_PZ.Q3,PANEL_PZ.Q4,PANEL_PZ.Q5,PANEL_PZ.Q6,PANEL_PZ.Q7,PANEL_PZ.Q8,PANEL_PZ.Q9,SPACE.Q1
orbit.Case Set 2,0.0,0.0,0.0,1.0,0.0,-1.066924326664775e-13,-0.9999999999999998,1.0783927585914141,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2617783282762693,1.260817563456256,1.255710405657813,1.2548055079074625,1.2588758832950735,1.2608011330930065,1.2611104560716697,1.2666059040408317,1.2621424263633867,0.1604740643984376,0.1617091088218408,0.15621915502444036,0.16205346004227428,0.15042524818158862,0.1616629460238045,0.16031441036672223,0.1600049057257107,0.15907429834911796,0.5074862500866181,0.5086156540566082,0.5358085298735273,0.5193434946038193,0.5109314158304759,0.5160598055163204,0.5104542447344698,0.5129166460139664,0.5214686347687518,0.15416671393701864,0.14648262502408882,0.1555007257038004,0.1516147086522966,0.1489797249175719,0.1522974892322051,0.1530232510536199,0.14873174909793646,0.14465575242822593,0.15831824204968217,0.1567133568567034,0.15437443447874521,0.15711471028815036,0.15638613059537104,0.1503419760506804,0.1602435074633565,0.15385807773912236,0.16110706765302768,2.4561739458635286,2.471695157511521,2.4686061836173026,2.447468690668707,2.4358180445945687,2.4543452000344717,2.4703352542649344,2.454078037508977,2.453936765314806,-32.7768075765929
orbit.Case Set 2,120.0,0.0,0.0,1.0,0.0,0.12682804266635836,-0.9660165283899156,1.078392758591414,19.999999999999773,19.999999999999773,19.999999999999773,20.000000000000114,20.000000000000114,20.000000000000114,19.999999999999773,19.999999999999773,19.999999999999773,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000017,20.43805933938779,21.33203332350297,20.39892399581464,21.164194560565477,22.937019481125787,21.094419143530274,23.632184171623805,25.532674201869668,23.62333500249622,20.398447700228814,19.10147965114271,18.594334356800232,21.093677791555876,19.174789647381374,18.70174031090096,23.62285501417523,23.29171964641688,21.80663745832487,20.39859886048123,19.10172357884477,18.594499214153814,21.331530346903946,19.945450042268874,18.939228047062784,20.43773640213925,19.186767227136272,18.62581214716579,18.59436852227185,18.939011581028808,18.625685699341716,18.701801335433686,18.980496577394547,18.812493774932193,21.806668024927717,23.180512053510483,21.874818070799222,18.62567672777442,19.186543121419447,20.43760835032242,18.81248531894812,19.341977532517376,21.163484342750678,21.874824300055423,23.347171879763096,23.631722640264627,21.807586860783772,23.18196189235664,21.87575542246367,23.293163119490146,26.52366492697115,23.348593692660927,23.623803400940346,25.533399374372323,23.63264593659909,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2614907339095707,1.2600415977130321,1.2550228294145571,1.2533133339107172,1.2574882384194712,1.2596071320391709,1.2583778036206514,1.263126697603145,1.2583636286751847,0.13257263593639226,0.13246551009843516,0.12973199350020442,0.1338535781498521,0.12386555273416705,0.13298359611740315,0.13217411915456623,0.1303308598447122,0.1316198864975084,0.48363162836947093,0.4855018591916379,0.5071335453989281,0.49302973467267974,0.4890618389931609,0.4900789971005856,0.4894842816687869,0.49026379231971623,0.4956566571731696,0.15084753660951522,0.14672286183970162,0.1520058321688825,0.14928981172536415,0.146623417139692,0.15050376228321938,0.15000212055044698,0.1461211799015419,0.1441439229381067,0.18837549918092178,0.18748640061520375,0.18607870965053697,0.18915004905157007,0.18770310330203743,0.18445340502349,0.1917242445938766,0.1853228276317947,0.19126717537074117,2.455652054737075,2.472088896005706,2.4701320048218074,2.447112859340282,2.4361302516390855,2.4557663485912347,2.4699933469994333,2.454330225727232,2.455752568650724,-33.29811472203652
orbit.Case Set 2,240.0,0.0,0.0,1.0,0.0,0.2536560853328234,-0.9320330567798315,1.0783927585914141,19.99999999999966,19.99999999999966,19.99999999999966,20.000000000000114,20.000000000000114,20.000000000000114,19.99999999999966,19.99999999999966,19.99999999999966,20.000000000000114,20.000000000000114,20.000000000000114,20.000000000000227,20.000000000000227,20.000000000000227,20.000000000000114,20.000000000000114,20.000000000000114,20.000000000000227,20.000000000000227,20.000000000000227,21.21054819918612,22.25023497910928,21.042474647094878,22.505132421354176,24.478800857673036,22.28021795957511,25.9267906012621,28.046644300023274,25.803643792893695,21.04198317899352,19.263430330662516,18.35228773242659,22.279455877102862,19.810329379395966,18.96295098470233,25.803149901902486,25.10484127907705,23.150073297418317,21.04213844974754,19.26368942069911,18.352454410233065,22.24972175889536,20.43162645779529,18.937454340184672,21.210216637280666,19.515699023133834,18.4949679250048,18.35233513312977,18.937248779491654,18.494852416897572,18.963039497604484,19.496761640110776,19.255984813087252,23.15011854698099,24.841686058540972,23.354553511459756,18.49485291349515,19.515496852375065,21.21010685830987,19.25599072012136,20.239911252343177,22.504440473201328,23.354571810870993,25.31193949897505,25.926340173670383,23.151046409473793,24.843144323898684,23.355500809523903,25.106315558698554,28.758050479570954,25.313354194370447,25.80411917233681,28.047380738433503,25.927263039874788,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2612014073910962,1.2592609584066385,1.2543311119691476,1.2518121727009477,1.2560922358991662,1.2584059396377807,1.2556286926803735,1.2596265362570631,1.2545620716707944,0.10450315999340971,0.10304578013839073,0.10308530248172128,0.10548385122167503,0.0971458909280169,0.10413151338790481,0.10386434181529397,0.10047809018739161,0.1040001195007831,0.45963333267900985,0.4622488522785374,0.47828585439378585,0.4665574896275456,0.46706054390702323,0.4639417089041502,0.46838801863701707,0.4674745027793754,0.4696892166478364,0.1475083682127578,0.14696454557735095,0.1484898892437699,0.14695091217944245,0.14425291755844538,0.14869923189828496,0.1469627940838906,0.14349488751097955,0.14362901075074852,0.21861378813107557,0.21844478730306063,0.21797393646427807,0.221378333419459,0.21920869496708778,0.21877028368206922,0.22339458701933806,0.21697708652989217,0.22160893436604612,2.455127020313165,2.472485005947008,2.4716670158930647,2.446754884875765,2.436444339075046,2.457196056581982,2.469649380461062,2.454583932849613,2.457579308386436,-33.78353787341209
orbit.Case Set 2,360.00000000000006,0.0,0.0,1.0,0.0,0.3804841279992886,-0.8980495851697474,1.078392758591414,19.99999999999983,19.99999999999983,19.99999999999983,20.00000000000017,20.00000000000017,20.00000000000017,19.99999999999983,19.99999999999983,19.99999999999983,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000034,20.00000000000034,20.00000000000034,20.00000000000017,20.00000000000017,20.00000000000017,20.00000000000034,20.00000000000034,20.00000000000034,22.099956075222963,23.086646342551774,21.766091964967018,23.71597191034084,25.60632023267209,23.297956243067063,27.48943266186933,29.5220739539522,27.211334401189333,21.76558847283104,19.78730921009293,18.67362310221131,23.29717868055144,20.617404195722884,19.620965196288807,27.210830076949378,26.311301794029305,24.21143247679538,21.76574499091015,19.787574889711152,18.67378830086807,23.086120333291205,21.114218326709306,19.40981753761173,22.099615416403708,20.237948842244805,18.969376855647454,18.673681174365186,19.40962790782652,18.9692723379589,19.62107466719243,20.307929023518057,20.1186824429617,24.211489407373108,26.010864306707163,24.583261816907395,18.969285503208198,20.237777209357432,22.099527599251132,20.11870750515334,21.327978467614912,23.715304035075803,24.583293369270734,26.708756888851042,27.488996198386587,24.212419629099827,26.01232094601687,24.584211930987124,26.31279287575842,30.042729074007752,26.710151015091014,27.211812063644743,29.522812891290243,27.489909512246754,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2609037690016764,1.2584578926278849,1.253619522628942,1.2502678856197247,1.2546561285421203,1.2571702389712183,1.2528006043429645,1.2560258210815223,1.2506513022396322,0.07562729456780189,0.07278087013759153,0.07567309623139987,0.07629910909811977,0.06965861756034167,0.07445055818098074,0.0747412715328893,0.0697676999771331,0.07558688241348821,0.43494560576136704,0.43832782504855505,0.44860941707817376,0.4393247408940193,0.444427188108472,0.4370535397739644,0.4466856949625023,0.4440305147530649,0.44297577463060284,0.1440732710469229,0.14721317248788165,0.14487293911061108,0.14454481992929716,0.14181431745637788,0.14684286034871874,0.14383615280953824,0.14079314609648994,0.14309930599037599,0.2497207729639569,0.25029255708716214,0.25078546023706444,0.25453248293745306,0.2516193900196823,0.2540730293401969,0.2559747658484043,0.24954071977853237,0.25282236176684125,2.454586902521175,2.4728924954698623,2.4732461252861464,2.4463866263986844,2.436767449722039,2.458666837711726,2.4692955323346095,2.4548449285567746,2.4594585273245873,-34.23001298941311
orbit.Case Set 2,480.0000000000001,0.0,0.0,1.0,0.0,0.5053528804409201,-0.8606725233434775,1.078392758591414,19.99999999999983,19.99999999999983,19.99999999999983,20.000000000000114,20.000000000000114,20.000000000000114,19.99999999999983,19.99999999999983,19.99999999999983,20.00000000000017,20.00000000000017,20.00000000000017,20.000000000000455,20.000000000000455,20.000000000000455,20.00000000000017,20.00000000000017,20.00000000000017,20.000000000000455,20.000000000000455,20.000000000000455,22.99494330868174,23.87660610182786,22.48105824868719,24.78542813641309,26.546480137787626,24.160318467763318,28.67690597977969,30.586519235886897,28.228875381585283,22.48054392976252,20.41010087201687,19.214994530988406,24.159526216932875,21.385577566514485,20.348527767893472,28.228361602513814,27.23488068828965,25.09941619105706,22.48070078911809,20.41036971368925,19.21515734318467,23.876065254488424,21.840215785409782,20.059565965542504,22.994593419611988,21.070024110769054,19.68271093412517,19.215062256196234,20.059393436027676,19.682617001287213,20.3486552675202,21.14999209241836,21.05849025964011,25.099483601570853,26.973932833874414,25.65094917104568,19.682643483993218,21.069885413551674,22.994528173438766,21.058535653570573,22.380722479592748,24.78478400759076,25.650993758070683,27.83621566739606,28.676483538920706,25.10041466202341,26.97538808988594,25.651900334211575,27.23638670445564,31.022869913968577,27.83758867144519,28.229354226211512,30.587259697289312,28.677385414696346,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.260461370410929,1.2575009052342632,1.252783569551784,1.248664898759942,1.2531094758633017,1.2557897874368966,1.2499463216340452,1.2523826095966841,1.2468013928162367,0.0475292064173261,0.043355707144457134,0.04898135132344331,0.047915053374672084,0.04291266298892662,0.0455969113633531,0.04641344493920934,0.03993447314007603,0.047939322012414014,0.41002700240811385,0.4141270856009316,0.4188223977962837,0.4119144875983687,0.4214104295928206,0.41002286811285044,0.4246284347602671,0.42031195263826504,0.41618575566818883,0.14061071616994006,0.14724877102282077,0.14122710352907886,0.1420661093414569,0.1393194702406186,0.14491061730847554,0.14065572105446447,0.13805627668091702,0.1424330194942662,0.28006552699860354,0.2813574718389233,0.2827452375599377,0.2868419001981462,0.2832037705160568,0.2883986791772199,0.28770318195467115,0.2813025922526736,0.28326602112073634,2.4543088300378226,2.4735188929570606,2.4750164217026116,2.4462590995258844,2.43731186068819,2.46033056913144,2.469164734370184,2.45532821822123,2.4614932718188793,-34.640512776561344
orbit.Case Set 2,600.0000000000001,0.0,0.0,1.0,0.0,0.5981974514972943,-0.7678279522871256,1.0783927585914141,19.999999999999716,19.999999999999716,19.999999999999716,20.000000000000114,20.000000000000114,20.000000000000114,19.999999999999716,19.999999999999716,19.999999999999716,20.000000000000114,20.000000000000114,20.000000000000114,20.00000000000074,20.00000000000074,20.00000000000074,20.000000000000114,20.000000000000114,20.000000000000114,20.00000000000074,20.00000000000074,20.00000000000074,23.79594210190652,24.56950673335558,23.13633594415404,25.70445924123402,27.353422299515614,24.918103371443237,29.64780722364185,31.45739902501731,29.06255745084627,23.135819767191037,21.019356507190764,19.80231895183016,24.917310770281347,22.115691108098588,21.066230545779263,29.062041014114698,28.03793841047991,25.89123134357078,23.135961945729036,21.01960242565832,19.802465826071966,24.568941398458435,22.477156041447927,20.70633047227625,23.795575837808713,21.845211081292575,20.4198685059456,19.80238890894975,20.706181972559136,20.419789985301577,21.066361376459383,21.939873306164316,21.941026004472633,25.89130090651122,27.822751085692516,26.58770534502912,20.41982541708677,21.845110544952036,23.795535950748217,21.941084265074096,23.315874667452192,25.703827634390166,26.587758261515376,28.79695004442965,29.64739377805597,25.892237839851646,27.824212773271256,26.588662644186513,28.03945319388589,31.87322184677032,28.798316798412372,29.063040487459546,31.45814860087279,29.64829249826306,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.253983636922305,1.2498769271744343,1.2465287069264166,1.2438840723929776,1.2463336573972255,1.2478930049299344,1.2445763223335513,1.2451647414425782,1.2434177949506837,0.03621962065243015,0.03252450032516732,0.03750005996333524,0.037091951833283815,0.032186221861857725,0.035131416236433635,0.035457045343667226,0.029987083513507963,0.03682593617064396,0.3630575711794204,0.3662844248495465,0.3693129362552129,0.36331626983568965,0.37119887475037294,0.36340342859582975,0.3770109223529209,0.3734050637115695,0.3725756400147234,0.13426961434183926,0.1387551520168765,0.1345513827113625,0.13540170948832764,0.13328752707414476,0.13894258138223772,0.13368494846939208,0.13250549217944133,0.13594465819128063,0.2953984581672836,0.2969526004299983,0.29693025762692027,0.3018374164961421,0.29784117690069284,0.3011341614352399,0.30153746272169285,0.29719376068361975,0.2984461895353091,2.4644022877391,2.4832501282036965,2.485366291688125,2.4557251721726496,2.447015027381245,2.4705899380714844,2.477916412563801,2.464978767081543,2.470812424083986,-35.01136397756113
orbit.Case Set 2,720.0,0.0,0.0,1.0,0.0,0.6910420225536684,-0.6749833812307738,1.0783927585914141,19.99999999999983,19.99999999999983,19.99999999999983,20.000000000000284,20.000000000000284,20.000000000000284,19.99999999999983,19.99999999999983,19.99999999999983,20.000000000000114,20.000000000000114,20.000000000000114,20.00000000000091,20.00000000000091,20.00000000000091,20.000000000000114,20.000000000000114,20.000000000000114,20.00000000000091,20.00000000000091,20.00000000000091,24.472482462093524,25.150428910200787,23.708428288020116,26.48706347135891,28.047537660938815,25.586025524142258,30.470350096359255,32.205207154487255,29.787267764725186,23.707910425425155,21.565004395560038,20.353542912803846,25.585232636721003,22.783577485939134,21.7330317108661,29.786748779577408,28.759868002320673,26.608739904866525,23.708037803614843,21.565226620506053,20.353673757674585,25.14983829847796,23.00446639099431,21.281908979321713,24.472099861509435,22.512709552840136,21.08836845874208,20.35361489813795,21.28178489973419,21.088305266389398,21.733165183493043,22.647342387932383,22.726221404030753,26.6088113607355,28.57843655083758,27.408680158254185,21.0883497125173,22.512647751520888,24.47208532063064,22.72629267538025,24.128475953859834,26.486444059337998,27.40874138483133,29.630309648941648,30.469945516629934,26.60975417431598,28.57990521019559,27.409643495439013,28.761391740259228,32.62745879784046,29.63167055904961,29.78775505981008,32.2059659529703,30.470841052333583,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.247521159199924,1.242270904411366,1.240288575182192,1.239114505391597,1.2395737967199043,1.2400148202038488,1.23921896996492,1.2379638721522765,1.2400421658257694,0.02493667019092222,0.021718802174867442,0.026045808291949614,0.026294339872075304,0.02148504266918964,0.02469056848772995,0.024526449259706713,0.020063121070404453,0.02573872356012366,0.3161987580650192,0.3185544387628655,0.31992007487582236,0.3148325061565761,0.3211055735756205,0.31689378292458975,0.3295055543614638,0.32660864560524905,0.3290682309223436,0.12794344649757455,0.13028153640661694,0.1278913839415628,0.12875300502101333,0.12726978978926537,0.13298860082909936,0.12673059281120916,0.12696778037862078,0.12947157768419584,0.31069527861696866,0.312511000798658,0.31108187043028573,0.31679761672382734,0.3124441106027769,0.31383965024869115,0.3153391622542605,0.31304750368615963,0.31359060700377217,2.4744719742507244,2.4929584453339197,2.4956917866051946,2.465168951189738,2.4566953420623823,2.480825145082881,2.4866474796043057,2.474606587850651,2.4801096287328797,-35.33957026736283
orbit.Case Set 2,840.0000000000001,0.0,0.0,1.0,0.0,0.7838865936100425,-0.5821388101744218,1.0783927585914141,19.999999999999602,19.999999999999602,19.999999999999602,20.000000000000057,20.000000000000057,20.000000000000057,19.999999999999602,19.999999999999602,19.999999999999602,20.00000000000034,20.00000000000034,20.00000000000034,20.000000000000796,20.000000000000796,20.000000000000796,20.00000000000034,20.00000000000034,20.00000000000034,20.000000000000796,20.000000000000796,20.000000000000796,25.044886597172876,25.635783364091253,24.19502689840425,27.162579187341976,28.645744760527748,26.1649968427231,31.18174334249312,32.85391976006099,30.41841194616643,24.194507381281085,22.032477581370927,20.838209841045114,26.16420352614358,23.369120458646933,22.32500405964271,30.417890414491012,29.39674664567349,27.24611320592959,24.194619935553135,22.03267601467593,20.838324668059045,25.63516722702326,23.440868684642453,21.778046295496893,25.04448765055838,23.084403471233998,21.674000582602332,20.8382837760131,21.777946613039205,21.673952661754015,22.32513995106342,23.268465082387536,23.418349126947703,27.24618645505376,29.245390749414184,28.130762288829203,21.67400612892027,23.084380554125403,25.04449843422367,23.418433525888474,24.840571654525945,27.161971818780728,28.130831824537665,30.360803555665427,31.181347551150395,27.247135220549467,29.24686669484845,28.131731686579997,29.398279590836353,33.291312579679186,30.36215881167749,30.418903559619366,32.85468785055548,31.182239949446057,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2410491464976197,1.234653659439501,1.2340392365155672,1.2343379011937177,1.2328039622927907,1.232125011711087,1.2338537131594038,1.2307523784316767,1.2366615561721295,0.01363707244477356,0.0108971608957323,0.014574656591748785,0.01548079671269557,0.010768074558842673,0.014234315924039615,0.013579725767855573,0.010124516444113326,0.014635152463866038,0.26927080771541495,0.27075403007998566,0.270454337432196,0.2662772077297763,0.2709383628817139,0.2703155151927753,0.2819300951836973,0.2797431823236404,0.2854966293808689,0.12160794479004883,0.12179541850881466,0.12122155876194188,0.12209449080791163,0.12124317371104053,0.1270258355516682,0.1197659764381069,0.12142189803190259,0.12298894655344474,0.3260146685643213,0.3280923566097239,0.3252543630493755,0.33177988978718814,0.3270685900162205,0.3265638852127613,0.329161225327502,0.3289246378906094,0.3287573691088776,2.4845565179522455,2.502681086476218,2.5060325161413943,2.474626663909533,2.466389939439739,2.4910754534992745,2.4953914287857657,2.484248613864509,2.489420550823207,-35.626851926302535
orbit.Case Set 2,960.0000000000001,0.0,0.0,1.0,0.0,0.8699439842340463,-0.48537565866840116,1.0783927585914141,19.999999999999716,19.999999999999716,19.999999999999716,20.000000000000057,20.000000000000057,20.000000000000057,19.999999999999716,19.999999999999716,19.999999999999716,20.000000000000284,20.000000000000284,20.000000000000284,20.00000000000074,20.00000000000074,20.00000000000074,20.000000000000284,20.000000000000284,20.000000000000284,20.00000000000074,20.00000000000074,20.00000000000074,25.525296984044985,26.034375293366622,24.59829008376056,27.74529937640284,29.15732115907764,26.659365309238183,31.800150248429873,33.41600261819917,30.964611790453887,24.597769560510926,22.4190266260851,21.246248299960428,26.658572260425046,23.87139325439233,22.836493464374257,30.96408864011238,29.951377478870654,27.802850140179714,24.597867342477855,22.419201388748945,21.246347359334436,26.033734716349215,23.792380789398123,22.192492272832794,25.52488252882199,23.566955990342763,22.174697547836274,21.24632346361352,22.19241622074361,22.174664483747847,22.83663081668476,23.80443969954291,24.02153181258882,27.80292453084519,29.828262478319402,28.763433105011075,22.17472545482974,23.566968651908724,25.524916413930384,24.021627247800495,25.461181458743283,27.74470229195748,28.76350937969653,31.001011438880766,31.799761771245016,27.803879483372043,29.829746437349286,28.7644088047291,29.95291938237608,33.87172354956846,31.002363795124893,30.965108391373008,33.41678041808126,31.80065292168166,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2342309617369505,1.2270091739172622,1.2276494473060608,1.2291306923109306,1.2260458839238304,1.2242042356252423,1.2282294515889631,1.2235270544713324,1.2326621990168498,0.003249587255782625,0.000956917525931073,0.004036910018027466,0.005504458321479982,0.0009244743434046022,0.0046185194330320934,0.0035274452126875734,0.0009929504195962484,0.004415208712136845,0.22337794830939625,0.22399539815791283,0.22233223421812542,0.21900491206143857,0.22200356341212463,0.22460340273286833,0.23539526349634993,0.23375628343101676,0.24239608429605367,0.11511278695043714,0.11338242413857692,0.11440765251350532,0.11536219775417958,0.11496327719942781,0.12073891204249583,0.11271950375804059,0.1156318316253741,0.11631701472266623,0.33874273439581437,0.34094904589071734,0.3369186332301104,0.3441337254216496,0.3391718300693244,0.33709520622408573,0.34026657075660977,0.3422091369260706,0.34137872384142076,2.494782134027298,2.5126694577069983,2.5164306828640366,2.4843944509222733,2.476426416246444,2.5014801371913435,2.504486074748397,2.4942473856990137,2.4990801478589986,-35.87486725016698
orbit.Case Set 2,1080.0,0.0,0.0,1.0,0.0,0.9039274558441609,-0.3585476160019444,1.0783927585914141,19.99999999999966,19.99999999999966,19.99999999999966,20.00000000000017,20.00000000000017,20.00000000000017,19.99999999999966,19.99999999999966,19.99999999999966,20.00000000000034,20.00000000000034,20.00000000000034,20.000000000000966,20.000000000000966,20.000000000000966,20.00000000000034,20.00000000000034,20.00000000000034,20.000000000000966,20.000000000000966,20.000000000000966,25.897207315260573,26.368458552311495,24.943108794174066,28.19890027137751,29.58653945133932,27.087051004080422,32.30414231962004,33.90080200590194,31.439489992495112,24.94259151328356,22.756782529700843,21.600465423529556,27.086263518409623,24.317691073988726,23.281046522998622,31.438971403664766,30.444588493318633,28.291836248038805,24.942675174195244,22.756934937009532,21.60055058058532,26.36780200800979,24.092155189510493,22.538075048523638,25.89678312614302,23.93243727008661,22.56261751998892,21.600537373780867,22.538017216893138,22.562596705668966,23.281179413724544,24.24865528673064,24.489382126408145,28.29190777640332,30.328389378675524,29.276540620137382,22.562654746956184,23.932462118255728,25.896825057067645,24.489473538757863,25.923031750585494,28.198301612074715,29.27661302659027,31.51671950750574,32.30375144098298,28.292870140866,30.329885271016963,29.27752404262793,30.44613697409875,34.37954730539184,31.518087363904044,31.439995941542236,33.90159232035887,32.3046538333291,-270.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2234900546305831,1.2189790761043622,1.2196288955243244,1.2190794291904636,1.2193453723548184,1.215853417646872,1.2196645628010347,1.2160697579465738,1.2217399866244878,0.0028910384744029695,0.0007089490251544255,0.0037632158715973415,0.004728640866044047,0.0006849129279968682,0.004243295826292,0.0033112686134416243,0.0007356446223664878,0.003909300669324736,0.18849708705827034,0.18831373057629994,0.1886285531308283,0.18548610255386122,0.18624175257257103,0.18802692640008906,0.19992704015337023,0.19704001790481246,0.20406651805427095,0.10677218798234107,0.10569140198537971,0.1059180272746521,0.10773672725822152,0.10579930367935182,0.11077977773044273,0.10468664359092125,0.1070641281019697,0.10746812416110808,0.3227968128234253,0.32365056671102915,0.32082137187821924,0.3273968774077338,0.3233735604217362,0.3233585041440099,0.3212861727572445,0.32681109389639307,0.3258354634388288,2.506686942097488,2.5257204651795737,2.5275800078201347,2.497715529646119,2.4903727195513583,2.5137138598161224,2.517578389763084,2.5083208685348897,2.5127210486098477,-36.08211665503144
